"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1288",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1289",1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
"1290",1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0
"1291",0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"1292",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1293",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1294",0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0
"1295",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0
"1296",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1297",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1298",1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0
"1299",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0
"1300",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1301",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0
"1302",1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1
"1303",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
"1304",1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
"1305",1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"1306",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1307",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1308",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1
"1309",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0
"1310",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1311",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1312",0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
"1313",1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1314",1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
"1315",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1316",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1317",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1318",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1319",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1320",1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
"1321",1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
"1322",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1323",1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
"1324",1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"1325",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1326",1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"1327",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1328",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0
"1329",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1330",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1331",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1332",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1333",0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1334",1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"1335",1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"1336",1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1
"1337",1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1338",1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
"1339",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1340",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1341",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1342",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1343",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0
"1344",1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0
"1345",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1346",0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
"1347",1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"1348",0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"1349",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1350",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1351",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
"1352",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1
"1353",1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"1354",1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
"1355",1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
"1356",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1357",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1358",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1359",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1360",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"1361",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0
"1362",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"1363",1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0
"1364",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1365",1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
"1366",1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1367",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1368",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1369",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1370",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"1371",1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1372",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1373",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1374",1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
"1375",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1376",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1377",0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
"1378",1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
"1379",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1380",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0
"1381",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1382",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0
"1383",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1384",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1385",1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
"1386",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"1387",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1388",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1389",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1390",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0
"1391",0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"1392",1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0
"1393",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0
"1394",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1395",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1396",1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
"1397",1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
"1398",1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"1399",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1400",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1401",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1402",0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
"1403",1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
"1404",1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"1405",0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
"1406",1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
"1407",0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"1408",1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
"1409",1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"1410",1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"1411",1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"1412",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1413",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0
"1414",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1415",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1416",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1417",1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0
"1418",1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
"1419",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1420",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"1421",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1422",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1423",1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0
"1424",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1425",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1426",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1427",1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"1428",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1429",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1430",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1431",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
"1432",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1433",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1434",1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"1435",1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
"1436",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0
"1437",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1438",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1439",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1440",1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
"1441",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1442",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1443",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1444",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1445",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1446",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1447",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1448",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1449",0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"1450",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1451",1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1452",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1453",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1454",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1455",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1456",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"1457",1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
"1458",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1459",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
"1460",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1461",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1462",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
"1463",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"1464",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1465",1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
"1466",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1467",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1468",1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
"1469",1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"1470",1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"1471",1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1472",1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
"1473",1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
"1474",1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1475",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
"1476",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1477",1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0
"1478",1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"1479",1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1480",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1481",1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"1482",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0
"1483",1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"1484",1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0
"1485",1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
"1486",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1487",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1488",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1489",1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1490",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1491",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1492",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1493",1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
"1494",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1495",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"1496",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1497",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1498",1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
"1499",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1500",1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0
"1501",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1502",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1503",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
"1504",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0
"1505",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1506",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1507",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1508",1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1509",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1510",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1511",1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0
"1512",1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
"1513",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
"1514",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"1515",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1516",1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0
"1517",1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
"1518",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
"1519",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0
"1520",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
"1521",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
"1522",1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
"1523",1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"1524",0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
"1525",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
"1526",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
"1527",1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0
"1528",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1529",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1530",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1531",1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0
"1532",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1533",1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0
"1534",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1535",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1536",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0
"1537",1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"1538",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1539",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1540",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1541",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1542",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1543",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1544",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1545",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1546",1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
"1547",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1548",1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
"1549",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
"1550",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1551",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1552",1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1553",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0
"1554",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1555",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1556",1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0
"1557",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1558",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"1559",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
"1560",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1561",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1562",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1563",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1564",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1565",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1566",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1567",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1568",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0
"1569",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1570",1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1571",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1572",1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1
"1573",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1574",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0
"1575",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
"1576",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1577",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1578",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"1579",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1580",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1581",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1582",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1583",1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1584",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1585",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1586",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1587",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1588",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1589",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1590",1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0
"1591",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1592",1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
"1593",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1594",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0
"1595",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1596",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1597",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1598",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1599",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"1600",1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
